Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
60,Eric Berry,KC,FS,16,62,15,2.5,0.0,0.0,0,9,4,1,0,2,6.9,110.0,2016
62,Nick Perry,GB,OLB,14,35,17,12.5,11.0,76.5,16,4,1,0,0,0,7.8,108.65,2016
63,Brian Orakpo,TEN,OLB,16,39,7,13.0,11.0,78.0,19,4,0,0,0,0,6.8,108.3,2016
64,Brad McDougald,TB,SS,16,80,12,3.0,0.0,0.0,0,10,2,0,1,0,6.8,108.0,2016
65,Avery Williamson,TEN,ILB,16,72,31,3.0,2.0,14.0,5,1,1,1,0,0,6.7,107.9,2016
66,Ndamukong Suh,MIA,NT,16,41,31,11.5,5.0,37.5,17,6,0,0,1,0,6.7,107.75,2016
67,Leonard Williams,NYJ,DE,16,36,32,12.0,7.0,51.5,18,0,0,2,0,0,6.7,107.15,2016
68,Will Compton,WAS,ILB,15,60,43,5.5,0.0,0.0,2,5,1,1,2,0,7.1,106.0,2016
69,Frank Clark,SEA,DE,15,25,22,14.5,10.0,68.5,19,0,0,2,1,0,7.0,105.35,2016
70,Derrick Johnson,KC,ILB,13,70,20,8.0,1.0,8.0,2,3,1,0,0,1,8.1,104.8,2016
71,Deforest Buckner,SF,DT,15,44,30,7.0,6.0,26.0,15,1,0,0,2,0,6.8,102.6,2016
72,Jadeveon Clowney,HOU,OLB,14,40,12,18.0,6.0,45.0,17,2,0,1,0,0,7.3,102.5,2016
73,Erik Walden,IND,OLB,16,31,11,11.5,11.0,64.0,17,0,0,3,0,0,6.4,102.4,2016
74,Trent Murphy,WAS,DE,16,28,18,10.5,9.0,44.5,20,0,0,3,1,0,6.4,101.95,2016
75,Eric Weddle,BAL,FS,16,48,41,1.5,1.0,5.0,1,13,4,1,0,0,6.3,101.5,2016
75,Casey Hayward,LAC,CB,16,50,7,1.0,0.0,0.0,0,20,7,0,0,1,6.3,101.5,2016
75,CJ Mosley,BAL,ILB,14,56,37,5.0,0.0,0.0,4,8,4,0,0,0,7.2,101.5,2016
78,Shane Ray,DEN,OLB,16,33,15,6.0,8.0,49.5,19,0,0,1,2,1,6.3,101.45,2016
79,Jatavis Brown,LAC,OLB,12,64,13,7.5,3.5,24.0,2,6,0,1,1,0,8.4,101.4,2016
80,Akiem Hicks,CHI,DE,16,36,17,11.0,7.0,50.0,15,2,0,2,1,0,6.3,100.5,2016
81,Joey Bosa,LAC,DE,12,30,11,17.5,10.5,71.5,19,0,0,0,0,0,8.3,100.15,2016
82,Malcolm Jenkins,PHI,SS,16,45,25,3.5,1.0,10.0,3,9,3,0,1,2,6.2,100.0,2016
83,Daniel Sorensen,KC,SS,16,49,7,5.0,1.0,8.0,3,6,3,2,3,1,6.2,99.3,2016
84,Tavon Wilson,DET,SS,15,73,15,4.0,1.0,5.0,1,2,2,0,1,0,6.6,99.0,2016
84,Demario Davis,CLE,OLB,16,59,40,7.0,2.0,20.0,5,2,0,0,0,0,6.2,99.0,2016
86,Ha'Sean Clinton-Dix,GB,FS,16,61,18,1.5,0.5,3.0,1,7,5,1,0,0,6.2,98.8,2016
87,Rodney McLeod,PHI,FS,16,68,12,3.0,1.0,7.0,0,7,3,1,0,0,6.2,98.7,2016
88,Linval Joseph,MIN,NT,16,37,40,6.0,4.0,21.5,16,0,0,3,0,0,6.1,98.15,2016
89,Harrison Smith,MIN,FS,14,69,22,4.0,2.0,15.0,3,2,0,0,1,0,7.0,97.5,2016
90,Terrell Suggs,BAL,DE,15,28,7,13.5,8.0,63.0,17,4,0,3,0,0,6.5,97.3,2016
90,Kevin Minter,ARI,ILB,16,59,23,8.0,3.5,28.0,7,2,0,0,0,0,6.1,97.3,2016
92,Ryan Kerrigan,WAS,OLB,16,26,7,14.0,10.5,86.0,16,2,0,2,0,0,6.1,97.1,2016
93,Malcolm Butler,NE,CB,16,48,15,1.0,1.0,0.0,1,16,4,1,2,0,6.0,96.5,2016
94,Jonathan Casillas,NYG,OLB,16,58,35,4.5,1.5,3.5,3,7,0,1,0,0,6.0,96.35,2016
95,Brent Grimes,TB,CB,16,51,6,0.0,0.0,0.0,0,24,4,0,0,1,6.0,96.0,2016
95,Gerald Hodges,SF,ILB,15,53,28,4.0,3.0,10.0,4,2,2,1,1,0,6.4,96.0,2016
97,Josh Norman,WAS,CB,16,52,15,2.0,0.0,0.0,1,18,3,2,0,0,6.0,95.5,2016
98,Shawn Williams,CIN,SS,15,59,22,3.0,1.0,4.0,8,5,3,0,0,0,6.4,95.4,2016
99,Marcus Cooper,ARI,CB,15,63,6,0.0,0.0,0.0,0,11,4,0,0,1,6.3,95.0,2016
100,Bashaud Breeland,WAS,CB,14,61,11,2.0,1.0,3.0,1,11,3,1,0,0,6.8,94.8,2016
100,Vonn Bell,NO,SS,16,59,26,3.0,1.0,8.0,4,4,0,2,1,0,5.9,94.8,2016
102,Todd Davis,DEN,ILB,16,64,33,1.0,0.5,2.5,4,2,0,1,1,0,5.9,94.75,2016
103,Byron Jones,DAL,CB,16,69,14,2.5,0.0,0.0,0,10,1,1,0,0,5.9,94.5,2016
104,Mike Adams,IND,FS,15,62,17,1.5,0.0,0.0,2,2,2,2,2,0,6.3,94.0,2016
105,Kawann Short,CAR,DT,16,30,25,13.5,6.0,35.0,16,3,0,1,0,0,5.8,93.5,2016
106,Kenny Vaccaro,NO,SS,11,50,18,5.0,1.0,1.0,8,4,2,2,1,0,8.5,93.1,2016
107,Damon Harrison,NYG,DT,16,55,31,7.0,2.5,25.5,4,1,0,1,0,0,5.8,93.05,2016
108,Dominique Rodgers-Cromartie,NYG,CB,15,41,8,2.0,1.0,9.0,1,21,6,1,0,0,6.2,92.9,2016
109,Jalen Ramsey,JAX,CB,16,55,10,2.0,0.0,0.0,1,14,2,1,0,1,5.8,92.0,2016
110,Reggie Nelson,OAK,FS,16,50,15,0.0,0.0,0.0,1,12,5,0,2,0,5.7,91.5,2016
111,Corey Graham,BUF,FS,16,58,25,2.0,1.0,9.0,1,9,1,0,1,0,5.7,91.4,2016
112,DJ Swearinger,ARI,FS,16,56,8,5.0,2.0,13.0,4,8,3,0,0,0,5.7,91.3,2016
113,Dee Ford,KC,DE,15,25,13,12.5,10.0,52.5,17,2,0,1,0,0,6.1,91.25,2016
114,Daryl Worley,CAR,CB,16,62,25,2.0,1.0,7.0,1,8,1,0,0,0,5.7,91.2,2016
115,Geno Atkins,CIN,DT,16,21,11,14.5,9.0,63.0,25,0,0,0,0,0,5.6,90.3,2016
116,Devin McCourty,NE,FS,16,65,15,2.5,0.0,0.0,0,6,1,1,1,0,5.6,90.0,2016
116,Marcus Peters,KC,CB,15,35,10,0.0,0.0,0.0,0,20,6,1,3,0,6.0,90.0,2016
116,Sean Davis,PIT,FS,15,56,15,5.0,2.5,15.0,4,5,1,0,1,0,6.0,90.0,2016
119,Kyle Williams,BUF,DT,15,42,22,9.5,5.0,35.5,13,0,0,0,0,0,5.9,89.05,2016
120,James Harrison,PIT,LB,15,41,14,9.0,5.0,39.0,8,1,1,2,0,0,5.9,88.9,2016
120,Janoris Jenkins,NYG,CB,15,44,5,5.5,1.0,9.0,1,18,3,0,0,0,5.9,88.9,2016
122,David Harris,NYJ,LB,15,62,32,5.0,0.5,3.0,2,2,0,0,0,0,5.9,88.3,2016
123,DeShawn Shead,SEA,CB,15,56,24,0.0,0.0,0.0,0,14,1,1,0,0,5.9,88.0,2016
123,Deone Bucannon,ARI,ILB,13,64,24,5.0,0.0,0.0,0,4,0,0,1,0,6.8,88.0,2016
123,Steven Nelson,KC,CB,15,58,6,4.0,0.0,0.0,1,16,0,0,2,0,5.9,88.0,2016
126,Ahmad Brooks,SF,OLB,16,40,12,11.0,6.0,29.0,9,4,0,1,0,0,5.5,87.9,2016
127,Sheldon Richardson,NYJ,DT,15,38,24,13.0,1.5,13.0,9,2,0,1,2,0,5.8,87.3,2016
128,Barry Church,DAL,SS,12,61,24,2.0,0.0,0.0,2,4,2,0,0,0,7.2,87.0,2016
128,Vernon Hargreaves,TB,CB,16,68,8,3.0,0.0,0.0,0,9,1,0,0,0,5.4,87.0,2016
130,Derrick Morgan,TEN,OLB,15,24,9,11.0,9.0,57.0,22,1,0,0,0,0,5.7,86.2,2016
131,Mario Addison,CAR,DE,14,22,4,11.0,9.5,49.5,15,1,0,2,1,0,6.1,85.95,2016
132,Darian Stewart,DEN,SS,16,55,13,1.0,0.0,0.0,2,6,3,1,1,0,5.3,85.5,2016
132,Xavier Rhodes,MIN,CB,14,44,8,2.5,0.0,0.0,0,11,5,1,0,1,6.1,85.5,2016
132,Robert Alford,ATL,CB,16,49,9,1.0,0.0,0.0,0,19,2,0,0,1,5.3,85.5,2016
132,Ricardo Allen,ATL,SS,16,61,29,0.0,0.0,0.0,1,3,2,0,0,0,5.3,85.5,2016
136,D'Qwell Jackson,IND,ILB,12,52,26,5.0,1.0,12.0,3,3,0,0,2,0,7.1,85.2,2016
137,Ramik Wilson,KC,ILB,11,62,15,3.0,0.0,0.0,0,3,1,0,2,0,7.7,84.5,2016
138,Nick Fairley,NO,DT,16,29,14,9.0,6.5,43.5,22,0,0,0,0,0,5.3,84.35,2016
139,Derek Wolfe,DEN,DE,14,38,13,4.5,5.5,32.0,17,4,0,0,0,0,6.0,84.2,2016
140,Jason McCourty,TEN,CB,14,59,8,0.0,0.0,0.0,0,12,2,0,1,0,6.0,84.0,2016
140,Chris Harris,DEN,CB,16,57,6,1.0,0.0,0.0,0,11,2,1,1,0,5.2,84.0,2016
142,Malik Jackson,JAX,DT,16,28,5,11.5,6.5,39.5,18,4,0,0,1,0,5.2,83.95,2016
143,Isa Abdul-Quddus,MIA,FS,15,49,28,2.5,1.0,2.0,5,5,2,0,0,0,5.6,83.7,2016
144,Kam Chancellor,SEA,SS,12,46,34,3.5,0.0,0.0,0,8,2,1,0,0,7.0,83.5,2016
145,Jerry Hughes,BUF,DE,16,31,17,8.0,6.0,56.0,12,3,0,1,0,0,5.2,83.1,2016
146,David Amerson,OAK,CB,15,56,8,1.0,0.0,0.0,0,16,2,0,0,0,5.5,83.0,2016
146,Trey Flowers,NE,DE,16,23,22,9.5,7.0,45.0,14,1,0,0,2,0,5.2,83.0,2016
148,Kerry Hyder,DET,DE,16,23,13,11.0,8.0,44.0,18,1,0,0,1,0,5.2,82.9,2016
149,Muhammad Wilkerson,NYJ,DE,15,33,26,9.0,4.5,28.5,10,3,0,1,0,0,5.5,82.85,2016
150,Mike Mitchell,PIT,SS,16,55,23,0.0,0.0,0.0,1,9,1,0,1,0,5.2,82.5,2016
151,Jared Crick,DEN,DE,16,32,21,4.5,3.0,11.5,10,6,0,4,0,0,5.1,82.15,2016
152,Fletcher Cox,PHI,DT,16,27,16,10.0,6.5,41.0,11,3,0,1,1,0,5.1,82.1,2016
153,Byron Maxwell,MIA,CB,13,43,10,1.0,0.0,0.0,0,15,2,4,0,0,6.3,82.0,2016
153,Jake Ryan,GB,ILB,14,56,25,7.5,0.0,0.0,3,3,0,0,0,0,5.9,82.0,2016
155,Gerald McCoy,TB,DT,15,25,9,6.0,6.5,44.5,13,4,0,2,2,0,5.5,81.95,2016
155,Andre Branch,MIA,DE,16,27,22,9.5,5.5,34.5,13,1,0,2,0,0,5.1,81.95,2016
157,Emmanuel Ogbah,CLE,DE,16,28,24,8.5,5.5,31.5,16,3,0,0,0,0,5.1,81.65,2016
158,TJ McDonald,LAR,FS,16,50,13,6.5,1.0,6.0,4,6,2,0,0,0,5.1,81.6,2016
159,Jairus Byrd,NO,FS,16,56,26,2.5,0.0,0.0,0,4,2,0,0,0,5.1,81.5,2016
159,Artie Burns,PIT,CB,16,51,13,2.0,0.0,0.0,0,13,3,0,0,0,5.1,81.5,2016
161,Patrick Chung,NE,SS,16,49,39,1.5,1.0,12.0,1,4,1,0,0,0,5.1,81.2,2016
162,Chris Conte,TB,FS,14,55,10,1.0,0.0,0.0,0,5,2,0,1,1,5.8,81.0,2016
163,Jurrell Casey,TEN,NT,15,31,12,8.0,5.0,38.0,17,5,0,0,0,0,5.4,80.8,2016
164,Vincent Rey,CIN,OLB,16,50,33,1.0,0.0,0.0,0,7,1,0,1,0,5.0,80.5,2016
165,Denzel Perryman,LAC,ILB,12,54,15,7.0,2.0,8.0,2,2,1,0,0,0,6.7,80.3,2016
166,AJ Bouye,HOU,CB,15,48,14,2.5,1.0,6.0,1,16,1,0,0,0,5.3,80.1,2016
167,Lardarius Webb,BAL,FS,16,59,14,2.0,1.0,10.0,1,5,1,0,0,0,5.0,80.0,2016
167,Dwight Lowery,LAC,FS,16,49,11,1.5,0.0,0.0,0,9,1,1,1,1,5.0,80.0,2016
167,Anthony Barr,MIN,OLB,16,38,33,4.0,2.0,15.0,8,2,0,1,1,0,5.0,80.0,2016
170,Harold Jones-Quartey,CHI,SS,16,64,11,2.0,0.0,0.0,0,5,1,0,0,0,5.0,79.5,2016
171,Quintin Demps,HOU,SS,13,38,17,1.5,0.0,0.0,1,9,6,1,0,0,6.1,79.0,2016
171,Yannick Ngakoue,JAX,DE,16,20,3,6.0,8.0,45.0,14,2,1,4,0,0,4.9,79.0,2016
173,Korey Toomer,LAC,ILB,13,49,22,5.5,1.0,1.0,3,2,0,1,1,0,6.0,78.6,2016
174,Glover Quin,DET,FS,16,55,13,2.0,0.0,0.0,1,5,2,1,0,0,4.9,78.5,2016
174,Ron Parker,KC,SS,16,52,9,1.0,0.0,0.0,0,12,1,2,0,0,4.9,78.5,2016
174,Ronald Darby,BUF,CB,14,60,9,1.0,0.0,0.0,1,12,0,0,0,0,5.6,78.5,2016
177,Brian Poole,ATL,CB,16,42,16,5.5,1.0,8.0,2,9,1,0,2,0,4.9,78.3,2016
178,Richard Sherman,SEA,CB,16,38,20,2.0,0.0,0.0,0,13,4,0,1,0,4.9,78.0,2016
179,Leonard Floyd,CHI,OLB,12,23,10,6.0,7.0,49.5,9,2,0,1,1,1,6.5,77.95,2016
180,George Iloka,CIN,FS,16,48,25,1.0,0.0,0.0,0,7,3,0,0,0,4.8,77.5,2016
180,Keenan Robinson,NYG,OLB,16,54,27,2.0,0.0,0.0,1,7,0,0,0,0,4.8,77.5,2016
180,Joe Thomas,GB,OLB,16,54,15,3.0,0.0,0.0,2,5,1,0,1,0,4.8,77.5,2016
183,William Gholston,TB,DE,14,37,13,9.0,3.5,29.5,8,0,0,1,1,0,5.5,76.45,2016
184,William Hayes,LAR,DE,14,31,12,10.5,5.0,28.0,16,0,0,0,0,0,5.4,76.3,2016
185,Micah Hyde,GB,SS,16,45,11,3.0,1.0,6.0,2,9,3,0,0,0,4.8,76.1,2016
186,Brian Robison,MIN,DE,16,18,10,8.5,7.5,45.5,15,1,0,3,0,0,4.8,76.05,2016
187,Kareem Jackson,HOU,CB,14,51,11,3.5,0.0,0.0,0,4,1,0,1,1,5.4,76.0,2016
188,Stephon Tuitt,PIT,DE,14,27,11,9.0,4.0,30.5,14,3,0,2,0,0,5.4,75.55,2016
189,Keith Tandy,TB,SS,16,44,11,2.0,0.0,0.0,0,9,4,0,1,0,4.7,75.5,2016
189,Jamar Taylor,CLE,CB,15,46,11,1.0,0.0,0.0,1,13,3,0,0,0,5.0,75.5,2016
189,Ross Cockrell,PIT,DB,16,47,15,3.0,0.0,0.0,1,14,0,0,1,0,4.7,75.5,2016
192,Tramaine Brock,SF,CB,16,49,10,4.0,0.0,0.0,0,14,1,0,0,0,4.7,75.0,2016
192,Trumaine Johnson,LAR,CB,14,47,10,3.0,0.0,0.0,0,11,1,0,2,0,5.4,75.0,2016
194,Lamarcus Joyner,LAR,FS,14,50,16,3.0,1.0,7.0,2,5,0,1,0,0,5.3,73.7,2016
194,Jimmie Ward,SF,CB,11,42,10,2.0,1.0,7.0,1,12,1,1,1,0,6.7,73.7,2016
196,Shaq Thompson,CAR,OLB,14,39,16,4.5,0.0,0.0,2,5,1,0,2,1,5.2,73.5,2016
197,Chris Baker,WAS,NT,16,29,18,6.5,3.5,35.5,10,2,0,2,0,0,4.6,73.05,2016
198,Tre Boston,CAR,FS,15,38,14,5.0,2.0,19.0,4,7,2,0,0,0,4.9,72.9,2016
199,Anthony Hitchens,DAL,OLB,16,39,39,4.0,1.5,12.0,5,1,0,0,0,0,4.5,72.7,2016
200,James Bradberry,CAR,CB,13,47,12,3.5,0.0,0.0,0,10,2,0,0,0,5.6,72.5,2016
201,Adam Jones,CIN,CB,16,54,12,0.0,0.0,0.0,1,7,1,1,0,0,4.5,72.0,2016
201,Stephon Gilmore,BUF,CB,15,42,6,0.0,0.0,0.0,0,12,5,0,0,0,4.8,72.0,2016
201,Adrian Amos,CHI,FS,15,55,8,3.0,0.0,0.0,0,4,0,1,1,0,4.8,72.0,2016
204,Willie Young,CHI,OLB,16,22,17,8.0,7.5,43.0,9,2,0,1,0,0,4.5,71.8,2016
205,Preston Smith,WAS,OLB,16,23,16,9.0,5.0,36.0,12,3,1,0,0,0,4.5,71.6,2016
206,Robert Ayers Jr,TB,DE,12,21,8,7.5,6.5,38.5,16,1,0,1,0,0,5.9,71.35,2016
207,Dont'a Hightower,NE,LB,13,31,34,2.0,2.5,20.5,7,2,0,1,0,0,5.5,71.05,2016
208,Andrew Sendejo,MIN,SS,14,42,24,0.5,0.5,5.0,1,4,2,0,2,0,5.1,71.0,2016
208,Sio Moore,ARI,ILB,8,50,15,4.5,0.0,0.0,2,1,0,2,0,0,8.9,71.0,2016
208,Eric Reid,SF,SS,10,48,14,0.0,0.0,0.0,4,6,1,1,0,0,7.1,71.0,2016
208,Ladarius Gunter,GB,CB,16,50,4,1.0,0.0,0.0,0,12,0,2,0,0,4.4,71.0,2016
212,William Gay,PIT,FS,16,42,16,3.5,1.0,10.0,1,7,1,1,0,0,4.4,70.5,2016
213,Wesley Woodyard,TEN,ILB,16,40,13,7.0,2.0,7.0,4,5,1,0,0,0,4.4,70.2,2016
213,Darius Slay,DET,CB,13,43,1,1.0,1.0,7.0,1,13,2,1,0,0,5.4,70.2,2016
215,Brandon Carr,DAL,CB,16,53,8,1.0,0.0,0.0,1,8,1,0,0,0,4.4,70.0,2016
215,Sterling Moore,NO,CB,13,44,12,1.0,0.0,0.0,0,13,2,0,0,0,5.4,70.0,2016
215,Blake Martinez,GB,ILB,13,45,21,4.0,1.0,5.0,1,4,1,0,0,0,5.4,70.0,2016
218,John Simon,HOU,DE,11,32,19,4.0,3.5,19.0,10,2,0,1,0,0,6.3,69.4,2016
219,Briean Boddy-Calhoun,CLE,SS,14,37,4,2.0,1.0,10.0,1,11,3,0,0,1,4.9,69.0,2016
220,Nathan Stupar,NO,ILB,16,41,10,1.5,1.0,11.0,1,2,1,2,2,0,4.3,68.6,2016
221,Orlando Scandrick,DAL,CB,12,39,7,2.0,2.0,2.0,2,8,1,2,0,0,5.6,67.7,2016
221,Sean Spence,TEN,ILB,15,35,15,3.0,3.0,22.0,5,3,0,2,0,0,4.5,67.7,2016
223,Michael Bennett,SEA,DE,11,23,11,12.5,4.5,36.0,14,0,0,0,0,0,6.1,67.6,2016
224,Bradley Roby,DEN,CB,16,34,5,0.0,1.0,0.0,0,8,2,1,0,2,4.2,67.5,2016
224,Tavon Young,BAL,CB,16,41,9,2.0,0.0,0.0,1,8,2,0,1,0,4.2,67.5,2016
226,Michael Johnson,CIN,DE,16,32,13,6.5,3.5,19.0,10,3,0,0,0,0,4.2,66.9,2016
226,Darron Lee,NYJ,ILB,13,42,28,3.5,1.0,4.0,3,2,0,0,0,0,5.1,66.9,2016
228,Julius Peppers,GB,DE,16,15,8,6.5,7.5,53.5,12,3,0,1,1,0,4.2,66.85,2016
229,Danny Trevathan,CHI,ILB,9,49,17,1.5,1.0,7.0,1,4,0,0,0,0,7.4,66.7,2016
230,Robert Mathis,IND,OLB,14,15,5,7.0,5.0,45.0,6,0,0,3,2,1,4.7,66.0,2016
230,Rashaan Melvin,IND,CB,15,51,8,1.0,0.0,0.0,0,7,0,1,0,0,4.4,66.0,2016
230,Eli Apple,NYG,CB,14,41,10,4.0,0.0,0.0,0,7,1,1,1,0,4.7,66.0,2016
233,Chris Long,NE,DE,16,22,13,6.0,4.0,24.0,12,3,0,1,1,0,4.1,65.9,2016
234,Johnathan Hankins,NYG,DT,16,28,15,9.5,3.0,18.5,10,0,0,1,0,0,4.1,65.85,2016
